Event	ID	Name			Wwise Object Path	Notes
	147150410	ponderingCustomers			\Default Work Unit\ponderingCustomers	
	165591838	guardChase			\Default Work Unit\guardChase	
	417627684	playMusic			\Harry Events\playMusic	
	664555880	menuSelect			\Default Work Unit\menuSelect	
	1229583736	destroyWalls			\Default Work Unit\destroyWalls	
	1269172605	testaudio			\Default Work Unit\testaudio	
	1498905402	stealing			\Default Work Unit\stealing	
	1992006125	placeWalls			\Default Work Unit\placeWalls	
	1999751643	destroyItems			\Default Work Unit\destroyItems	
	2056374086	crowdRumbling			\Default Work Unit\crowdRumbling	
	2385628198	footsteps			\Default Work Unit\footsteps	
	2491655422	placeItems			\Default Work Unit\placeItems	
	2722298425	crowdRestaurant			\Default Work Unit\crowdRestaurant	
	2827521659	angryCustomers			\Default Work Unit\angryCustomers	
	3091552271	partyWhistle			\Default Work Unit\partyWhistle	
	3439293640	janitor			\Default Work Unit\janitor	
	3620977680	tannoy			\Default Work Unit\tannoy	
	3965943028	cashier			\Default Work Unit\cashier	
	4054555406	guardAlert			\Default Work Unit\guardAlert	
	4170476507	startAmbiance			\Default Work Unit\startAmbiance	
	4184302003	cheeringCustomers			\Default Work Unit\cheeringCustomers	

Switch Group	ID	Name			Wwise Object Path	Notes
	1192081059	Busyness			\Default Work Unit\Busyness	
	4247838896	itemType			\Default Work Unit\itemType	

Switch	ID	Name	Switch Group			Notes
	1427625958	Busy	Busyness			
	1565680351	Quiet	Busyness			
	1747842238	Moderate	Busyness			
	2767934153	Packed	Busyness			
	1968058251	ceramic	itemType			
	2058049674	wood	itemType			
	2473969246	metal	itemType			
	3624926856	leather	itemType			
	4294388576	generic	itemType			

State Group	ID	Name			Wwise Object Path	Notes
	3030503141	IsGamePaused			\Default Work Unit\IsGamePaused	

State	ID	Name	State Group			Notes
	748895195	None	IsGamePaused			
	979470758	Yes	IsGamePaused			
	1668749452	No	IsGamePaused			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1184004748	PercentageMallFull			\Default Work Unit\PercentageMallFull	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2638475	vo_tannoyAnnouncement28_mono	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\vo_tannoyAnnouncement28_mono_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\tannoy\vo_tannoyAnnouncement28_mono		524776
	7450326	StaccStrings	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\V1_Staccato Strings_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\MusicSwitch\Busyness\Busy\Busy_Intro\StaccStrings		2208064
	16724662	vo_tannoyAnnouncement19_mono	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\vo_tannoyAnnouncement19_mono_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\tannoy\vo_tannoyAnnouncement19_mono		590312
	18979138	sfx_janitorPlastic02	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\sfx_janitorPlastic02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\npcs\janitor\sfx_janitorPlastic02		68132
	40279741	vo_tannoyAnnouncement25_mono	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\vo_tannoyAnnouncement25_mono_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\tannoy\vo_tannoyAnnouncement25_mono		721384
	49914036	sfx_destroyItem_generic01	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\sfx_destroyItem_generic01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\items\destroy\destroyItems\generic\sfx_destroyItem_generic01		400496
	52922252	vo_tannoyAnnouncement21_mono	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\vo_tannoyAnnouncement21_mono_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\tannoy\vo_tannoyAnnouncement21_mono		917992
	54771930	sfx_destroyItem_ceramic02	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\sfx_destroyItem_ceramic02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\items\destroy\destroyItems\ceromic\sfx_destroyItem_ceramic02		74992
	55710923	vo_tannoyAnnouncement40_mono	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\vo_tannoyAnnouncement40_mono_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\tannoy\vo_tannoyAnnouncement40_mono		328168
	68170397	sfx_destroyItem_ceramic01	C:\Users\antti\Documents\Unity Projects\FrontierProject\FrontierProject_WwiseProject\.cache\Windows\SFX\sfx_destroyItem_ceramic01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\items\destroy\destroyItems\ceromic\sfx_destroyItem_ceramic01		91720
